#,Name,Type,Attack,Defense,HP,Catch,Flee,Fast Moves,Charge Moves
051,Dugtrio,Ground,167,134,111,20%,6%,Sucker PunchMud-Slap,EarthquakeStone EdgeMud BombFrustration (Shadow)Return (Shadow)
051,Dugtrio Alolan Dugtrio,Ground Steel,201,142,111,20%,6%,Metal ClawMud-Slap,EarthquakeIron HeadMud Bomb
052,Meowth,Normal,92,78,120,50%,15%,BiteScratch,Dark PulseNight SlashBody Slam (legacy)Foul PlayFrustration (Shadow)Return (Shadow)
052,Meowth Alolan Meowth,Dark,99,78,120,50%,15%,BiteScratch,Dark PulseNight SlashFoul Play
052,Meowth Galarian Meowth,Steel,115,92,137,45%,10%,ScratchMetal Claw,DigNight SlashGyro Ball
053,Persian,Normal,150,136,163,20%,7%,ScratchFeint Attack,Night Slash (legacy)Power GemPlay RoughFoul PlayFrustration (Shadow)Return (Shadow)Payback
053,Persian Alolan Persian,Dark,158,136,163,20%,7%,ScratchFeint Attack,Dark PulsePlay RoughFoul PlayPayback
054,Psyduck,Water,122,95,137,50%,10%,Water GunZen Headbutt,Cross ChopPsybeamAqua TailFrustration (Shadow)Return (Shadow)
055,Golduck,Water,191,162,190,20%,6%,Water GunConfusion,Cross ChopIce BeamBubble BeamHydro PumpPsychicFrustration (Shadow)Return (Shadow)Synchronoise
056,Mankey,Fighting,148,82,120,50%,10%,Karate ChopScratch,Cross ChopLow SweepBrick Break
057,Primeape,Fighting,207,138,163,20%,6%,Low KickKarate Chop (legacy)Counter,Cross Chop (legacy)Ice PunchNight SlashLow SweepClose Combat
058,Growlithe,Fire,136,93,146,30%,10%,BiteEmber,Flame WheelFlamethrowerBody SlamFrustration (Shadow)Return (Shadow)
059,Arcanine,Fire,227,166,207,10%,6%,Bite (legacy)Fire FangSnarlThunder Fang,FlamethrowerBulldoze (legacy)Fire BlastWild ChargeCrunchFrustration (Shadow)Return (Shadow)
060,Poliwag,Water,101,82,120,50%,15%,Mud ShotBubble,Bubble BeamMud BombBody SlamFrustration (Shadow)Return (Shadow)
061,Poliwhirl,Water,130,123,163,25%,7%,Mud ShotBubble,Bubble BeamMud BombWater PulseScald (legacy)Frustration (Shadow)Return (Shadow)
062,Poliwrath,Water Fighting,182,184,207,12.5%,5%,Mud ShotBubbleRock Smash,Ice PunchSubmission (legacy)ScaldHydro PumpDynamic PunchPower-Up PunchFrustration (Shadow)Return (Shadow)
063,Abra,Psychic,195,82,93,50%,99%,Zen HeadbuttCharge Beam,PsyshockShadow BallSignal BeamFrustration (Shadow)Return (Shadow)
064,Kadabra,Psychic,232,117,120,25%,7%,Psycho CutConfusion,PsybeamShadow BallDazzling GleamFrustration (Shadow)Return (Shadow)
065,Alakazam,Psychic,271,167,146,10%,5%,Psycho CutConfusionCounter (Community Day),Shadow BallDazzling Gleam (legacy)Psychic (legacy)Fire PunchFocus BlastFuture SightFrustration (Shadow)Return (Shadow)
066,Machop,Fighting,137,82,172,50%,10%,Low Kick (legacy)Karate ChopRock Smash,Cross ChopLow SweepBrick BreakFrustration (Shadow)Return (Shadow)
067,Machoke,Fighting,177,125,190,25%,7%,Low KickKarate Chop,Cross Chop (legacy)SubmissionBrick BreakDynamic PunchFrustration (Shadow)Return (Shadow)
068,Machamp,Fighting,234,159,207,10%,5%,Karate Chop (legacy)Bullet PunchCounter,Cross ChopStone Edge (legacy)Submission (legacy)Rock SlideClose CombatDynamic PunchHeavy SlamFrustration (Shadow)Return (Shadow)Payback (Community Day)
069,Bellsprout,Grass Poison,139,61,137,50%,15%,Vine WhipAcid,WrapSludge BombPower WhipFrustration (Shadow)Return (Shadow)
070,Weepinbell,Grass Poison,172,92,163,25%,7%,Razor Leaf (legacy)AcidBullet Seed,Seed BombSludge BombPower WhipFrustration (Shadow)Return (Shadow)
071,Victreebel,Grass Poison,207,135,190,12.5%,5%,Razor LeafAcid,Sludge BombSolar BeamLeaf BladeAcid SprayLeaf TornadoFrustration (Shadow)Return (Shadow)
072,Tentacool,Water Poison,97,149,120,50%,15%,Poison StingBubble,WrapBubble BeamWater Pulse
073,Tentacruel,Water Poison,166,209,190,20%,7%,Poison JabAcid,BlizzardSludge WaveHydro PumpAcid Spray
074,Geodude,Rock Ground,132,132,120,50%,10%,TackleRock Throw,DigRock TombRock SlideFrustration (Shadow)Return (Shadow)
074,Geodude Alolan Geodude,Rock Electric,132,132,120,50%,10%,Rock ThrowVolt Switch,Rock TombRock SlideThunderbolt
075,Graveler,Rock Ground,164,164,146,25%,7%,Rock ThrowMud-Slap,DigStone EdgeRock Slide (legacy)Rock BlastFrustration (Shadow)Return (Shadow)
075,Graveler Alolan Graveler,Rock Electric,164,164,146,25%,7%,Rock ThrowVolt Switch,Stone EdgeThunderboltRock Blast
076,Golem,Rock Ground,211,198,190,12.5%,5%,Rock ThrowMud-Slap,EarthquakeStone EdgeAncient PowerRock BlastFrustration (Shadow)Return (Shadow)
076,Golem Alolan Golem,Rock Electric,211,198,190,12.5%,5%,Rock ThrowVolt Switch,Stone EdgeWild ChargeRock Blast
077,Ponyta,Fire,170,127,137,40%,10%,EmberTackle,Flame WheelFlame ChargeFire Blast (legacy)StompFrustration (Shadow)Return (Shadow)
077,Ponyta Galarian Ponyta,Psychic,170,127,137,40%,10%,Low KickPsycho Cut,PsybeamPlay RoughSwift
078,Rapidash,Fire,207,162,163,15%,6%,Low KickEmber (legacy)Fire SpinIncinerate,Heat WaveDrill RunFlame ChargeFire BlastFrustration (Shadow)Return (Shadow)
078,Rapidash Galarian Rapidash,Psychic Fairy,207,162,163,20%,6%,Low KickPsycho Cut,MegahornPlay RoughPsychicBody Slam
079,Slowpoke,Water Psychic,109,98,207,50%,10%,Water GunConfusion,PsyshockWater PulsePsychicFrustration (Shadow)Return (Shadow)
079,Slowpoke Galarian Slowpoke,Psychic,109,98,207,50%,10%,ConfusionIron Tail,PsyshockPsychicSurf
080,Slowbro,Water Psychic,177,180,216,20%,6%,Water GunConfusion,Ice BeamWater PulsePsychicFrustration (Shadow)Return (Shadow)
080,Slowbro Galarian Slowbro,Poison Psychic,182,156,216,20%,6%,Poison JabConfusion,Sludge BombPsychicFocus Blast
081,Magnemite,Electric Steel,165,121,93,50%,10%,Thunder ShockSpark,DischargeMagnet BombThunderboltFrustration (Shadow)Return (Shadow)
082,Magneton,Electric Steel,223,169,137,20%,6%,Thunder ShockSparkCharge Beam,DischargeFlash CannonMagnet BombZap CannonFrustration (Shadow)Return (Shadow)
083,Farfetch'd,Normal Flying,124,115,141,30%,9%,Fury CutterCut (legacy)Air Slash,Aerial AceLeaf BladeAir CutterFrustration (Shadow)Return (Shadow)
083,Farfetch'd Galarian Farfetch'd,Fighting,174,114,141,30%,9%,Fury CutterRock Smash,Leaf BladeBrick BreakBrave Bird
084,Doduo,Normal Flying,158,83,111,50%,10%,PeckQuick Attack,Drill PeckAerial AceSwift (legacy)Brave Bird
085,Dodrio,Normal Flying,218,140,155,20%,6%,Feint AttackSteel Wing,Drill PeckAerial AceAir Cutter (legacy)Brave Bird
086,Seel,Water,85,121,163,50%,9%,LickIce ShardWater Gun (legacy),Aqua Jet (legacy)Aqua TailIcy WindAurora Beam
087,Dewgong,Water Ice,139,177,207,20%,6%,Ice Shard (legacy)Frost BreathIron Tail,BlizzardAqua Jet (legacy)Water PulseIcy Wind (legacy)Aurora Beam
088,Grimer,Poison,135,90,190,50%,10%,Poison JabMud-Slap,SludgeSludge BombMud BombFrustration (Shadow)Return (Shadow)
088,Grimer Alolan Grimer,Poison Dark,135,90,190,50%,10%,BitePoison Jab,Sludge BombGunk ShotCrunch
089,Muk,Poison,190,172,233,20%,6%,Lick (legacy)Poison JabInfestation,Dark PulseThunder PunchSludge WaveGunk ShotAcid SprayFrustration (Shadow)Return (Shadow)
089,Muk Alolan Muk,Poison Dark,190,172,233,20%,6%,BitePoison JabSnarl,Dark PulseSludge WaveGunk ShotAcid Spray
090,Shellder,Water,116,134,102,50%,10%,Ice ShardTackle,Bubble BeamWater PulseIcy WindFrustration (Shadow)Return (Shadow)
091,Cloyster,Water Ice,186,256,137,20%,6%,Ice ShardFrost Breath,Blizzard (legacy)Hydro PumpIcy WindAurora BeamAvalancheFrustration (Shadow)Return (Shadow)
092,Gastly,Ghost Poison,186,67,102,40%,10%,Sucker Punch (legacy)LickAstonish,Dark PulseOminous Wind (legacy)Sludge BombNight Shade
093,Haunter,Ghost Poison,223,107,128,20%,7%,Lick (legacy)Shadow ClawAstonish,Dark PulseShadow PunchShadow BallSludge Bomb
094,Gengar,Ghost Poison,261,149,155,10%,5%,Sucker PunchLick (legacy)Shadow ClawHex,Dark Pulse (legacy)Shadow Punch (Community Day)Shadow BallSludge BombSludge Wave (legacy)Psychic (legacy)Focus Blast
095,Onix,Rock Ground,85,232,111,20%,9%,TackleRock Throw,Stone EdgeRock Slide (legacy)Iron Head (legacy)Sand TombHeavy SlamFrustration (Shadow)Return (Shadow)
096,Drowzee,Psychic,89,136,155,50%,10%,PoundConfusion,PsybeamPsyshockPsychicFrustration (Shadow)Return (Shadow)
097,Hypno,Psychic,144,193,198,20%,6%,Zen HeadbuttConfusion,Ice PunchPsyshock (legacy)Shadow BallThunder PunchPsychicFire PunchFocus BlastFuture SightFrustration (Shadow)Return (Shadow)
098,Krabby,Water,181,124,102,50%,15%,Mud ShotBubble,Vise GripBubble BeamWater PulseFrustration (Shadow)Return (Shadow)
099,Kingler,Water,240,181,146,20%,7%,Mud Shot (legacy)Metal ClawBubble,Vise GripX-ScissorWater PulseCrabhammerFrustration (Shadow)Return (Shadow)
100,Voltorb,Electric,109,111,120,50%,10%,SparkTackle,DischargeThunderboltSignal Beam (legacy)Gyro Ball
100,Voltorb Hisuian Voltorb,Electric Grass,109,111,120,50%,10%,TackleCharge Beam,ThunderboltSwiftEnergy Ball
101,Electrode,Electric,173,173,155,20%,6%,SparkTackle (legacy)Volt Switch,Hyper BeamDischargeThunderboltFoul Play
101,Electrode Hisuian Electrode,Electric Grass,176,176,155,20%,6%,Thunder ShockTackle,SwiftWild ChargeEnergy Ball
102,Exeggcute,Grass Psychic,107,125,155,50%,10%,ConfusionBullet Seed,Seed BombAncient PowerPsychicFrustration (Shadow)Return (Shadow)
103,Exeggutor,Grass Psychic,233,149,216,20%,6%,Zen Headbutt (legacy)ConfusionBullet SeedExtrasensory,Seed BombPsychicSolar BeamFrustration (Shadow)Return (Shadow)
103,Exeggutor Alolan Exeggutor,Grass Dragon,230,153,216,20%,6%,Dragon TailBullet Seed,Seed BombDragon PulseSolar Beam
104,Cubone,Ground,90,144,137,40%,10%,Mud-SlapRock Smash,DigBone ClubBulldozeFrustration (Shadow)Return (Shadow)
105,Marowak,Ground,144,186,155,15%,6%,Mud-SlapRock Smash,DigEarthquakeBone ClubFrustration (Shadow)Return (Shadow)
105,Marowak Alolan Marowak,Fire Ghost,144,186,155,15%,6%,Rock SmashHexFire Spin,Flame WheelShadow BallBone ClubFire BlastShadow Bone (legacy)
106,Hitmonlee,Fighting,224,181,137,20%,9%,Low KickRock Smash,Stone EdgeLow SweepBrick Break (legacy)Stomp (legacy)Close CombatFrustration (Shadow)Return (Shadow)
107,Hitmonchan,Fighting,193,197,137,20%,9%,Bullet PunchRock Smash (legacy)Counter,Ice PunchThunder PunchFire PunchBrick Break (legacy)Close CombatPower-Up PunchFrustration (Shadow)Return (Shadow)
108,Lickitung,Normal,108,137,207,20%,9%,LickZen Headbutt,Hyper BeamPower WhipStompBody Slam (legacy)
109,Koffing,Poison,119,141,120,50%,10%,TackleInfestation,Dark PulseSludgeSludge BombFrustration (Shadow)Return (Shadow)
110,Weezing,Poison,174,197,163,20%,6%,TackleInfestation,Dark PulseShadow BallThunderboltSludge BombFrustration (Shadow)Return (Shadow)
110,Weezing Galarian Weezing,Poison Fairy,174,197,163,20%,6%,Tackle,Hyper BeamSludgePlay RoughOverheat
111,Rhyhorn,Ground Rock,140,127,190,50%,10%,Mud-SlapRock Smash,BulldozeHorn AttackStompFrustration (Shadow)Return (Shadow)
112,Rhydon,Ground Rock,222,171,233,5%,6%,Mud-SlapRock Smash,Megahorn (legacy)EarthquakeStone EdgeSurfFrustration (Shadow)Return (Shadow)
113,Chansey,Normal,60,128,487,20%,9%,PoundZen Headbutt,Hyper BeamDazzling GleamPsychic
114,Tangela,Grass,183,169,163,40%,9%,Vine WhipInfestation,Sludge BombSolar BeamPower Whip (legacy)Grass Knot
115,Kangaskhan,Normal,181,165,233,20%,9%,Low KickMud-Slap,EarthquakeBrick Break (legacy)Stomp (legacy)OutrageCrunchPower-Up PunchFrustration (Shadow)Return (Shadow)
116,Horsea,Water,129,103,102,50%,10%,Water GunBubble,Flash CannonBubble BeamDragon Pulse
117,Seadra,Water,187,156,146,20%,6%,Dragon BreathWater Gun,Blizzard (legacy)Dragon PulseHydro PumpAurora Beam
118,Goldeen,Water,123,110,128,50%,15%,PeckMud Shot,Aqua TailWater PulseHorn Attack
119,Seaking,Water,175,147,190,20%,7%,PeckPoison Jab (legacy)Waterfall,MegahornIce BeamDrill Run (legacy)Water PulseIcy Wind (legacy)
120,Staryu,Water,137,112,102,50%,15%,TackleWater Gun,Bubble BeamPower GemSwift
121,Starmie,Water Psychic,210,184,155,20%,6%,Tackle (legacy)Water GunHidden Power,Ice BeamPower GemThunderHydro PumpPsychic
122,Mr. Mime,Psychic Fairy,192,205,120,30%,9%,Zen HeadbuttConfusion,PsybeamShadow BallPsychicFrustration (Shadow)Return (Shadow)
122,Mr. Mime Galarian Mr. Mime,Ice Psychic,183,169,137,30%,9%,Zen HeadbuttConfusion,PsybeamIce PunchPsychic
123,Scyther,Bug Flying,218,170,172,30%,9%,Fury CutterSteel Wing (legacy)Air Slash,Aerial AceBug Buzz (legacy)Night SlashX-ScissorFrustration (Shadow)Return (Shadow)
124,Jynx,Ice Psychic,223,151,163,30%,9%,Frost BreathPound (legacy)Confusion,Ice Punch (legacy)PsyshockDraining KissFocus BlastAvalanche
125,Electabuzz,Electric,198,158,163,20%,9%,Thunder ShockLow Kick,Thunder PunchThunderThunderboltFrustration (Shadow)Return (Shadow)
126,Magmar,Fire,206,154,163,20%,9%,Karate ChopEmber,FlamethrowerFire BlastFire PunchFrustration (Shadow)Return (Shadow)
127,Pinsir,Bug,238,182,163,30%,9%,Fury CutterBug BiteRock Smash,Vise GripSubmission (legacy)X-ScissorClose CombatSuperpowerFrustration (Shadow)Return (Shadow)
128,Tauros,Normal,198,183,181,30%,9%,TackleZen Headbutt,EarthquakeIron HeadHorn Attack
129,Magikarp,Water,29,85,85,70%,15%,Splash,StruggleFrustration (Shadow)Return (Shadow)
130,Gyarados,Water Flying,237,186,216,10%,7%,BiteDragon BreathDragon Tail (legacy)Waterfall,Aqua Tail (Community Day)TwisterDragon Pulse (legacy)Hydro PumpOutrageCrunchFrustration (Shadow)Return (Shadow)
131,Lapras,Water Ice,165,174,277,5%,9%,Ice Shard (legacy)Frost BreathWater Gun,Ice Beam (legacy)BlizzardDragon Pulse (legacy)Hydro PumpSurfSkull BashFrustration (Shadow)Return (Shadow)
132,Ditto,Normal,91,91,134,20%,10%,Transform,Struggle
133,Eevee,Normal,104,114,146,40%,10%,Quick AttackTackle,DigSwiftBody Slam (legacy)Last Resort (Community Day)
134,Vaporeon,Water,205,161,277,12.5%,6%,Water Gun,Aqua TailWater PulseScald (Community Day)Hydro PumpLast Resort (Community Day)
135,Jolteon,Electric,232,182,163,12.5%,6%,Thunder ShockVolt Switch,DischargeThunderThunderboltZap Cannon (Community Day)Last Resort (Community Day)
136,Flareon,Fire,246,179,163,12.5%,6%,EmberFire Spin,FlamethrowerHeat Wave (legacy)Fire BlastOverheatLast Resort (Community Day)Superpower (Community Day)
137,Porygon,Normal,153,136,163,40%,9%,Tackle (legacy)Zen Headbutt (legacy)Charge BeamHidden Power,Hyper BeamPsybeam (legacy)Discharge (legacy)Signal Beam (legacy)Solar BeamZap CannonFrustration (Shadow)Return (Shadow)Tri Attack (Community Day)
138,Omanyte,Rock Water,155,153,111,40%,9%,Mud ShotWater Gun,Bubble BeamAncient PowerRock Tomb (legacy)Brine (legacy)Rock BlastFrustration (Shadow)Return (Shadow)
139,Omastar,Rock Water,207,201,172,15%,5%,Mud ShotRock Throw (legacy)Water Gun,Ancient PowerRock Slide (legacy)Hydro PumpRock BlastFrustration (Shadow)Return (Shadow)
140,Kabuto,Rock Water,148,140,102,40%,9%,Mud ShotScratch,Aqua JetAncient PowerRock TombFrustration (Shadow)Return (Shadow)
141,Kabutops,Rock Water,220,186,155,15%,5%,Fury Cutter (legacy)Mud ShotRock SmashWaterfall,Stone EdgeAncient PowerWater PulseFrustration (Shadow)Return (Shadow)
142,Aerodactyl,Rock Flying,221,159,190,20%,9%,BiteRock ThrowSteel Wing,Hyper BeamAncient PowerRock SlideIron HeadEarth PowerFrustration (Shadow)Return (Shadow)
143,Snorlax,Normal,190,169,330,5%,9%,LickZen HeadbuttYawn (legacy),Hyper BeamEarthquakeBody SlamHeavy SlamOutrageSkull BashSuperpowerFrustration (Shadow)Return (Shadow)
144,Articuno,Ice Flying,192,236,207,3%,10%,Ice ShardFrost Breath,Ice BeamBlizzardAncient PowerIcy WindHurricane (legacy)Frustration (Shadow)Return (Shadow)
145,Zapdos,Electric Flying,253,185,207,3%,10%,Thunder Shock (legacy)Charge Beam,Drill PeckAncient PowerThunderThunderboltZap CannonFrustration (Shadow)Return (Shadow)
146,Moltres,Fire Flying,251,181,207,3%,10%,Wing AttackFire Spin,Heat WaveAncient PowerFire BlastSky Attack (legacy)OverheatFrustration (Shadow)Return (Shadow)
147,Dratini,Dragon,119,91,121,40%,9%,Dragon BreathIron Tail,WrapAqua TailTwisterFrustration (Shadow)Return (Shadow)
148,Dragonair,Dragon,163,135,156,10%,6%,Dragon BreathIron Tail,WrapAqua TailDragon PulseFrustration (Shadow)Return (Shadow)
149,Dragonite,Dragon Flying,263,198,209,5%,5%,Dragon BreathSteel WingDragon Tail,Hyper BeamDragon Pulse (legacy)Dragon ClawHurricaneOutrageDraco Meteor (Community Day)Frustration (Shadow)Return (Shadow)
150,Mewtwo,Psychic,300,182,214,6%,10%,Psycho CutConfusion,Hyper Beam (legacy)FlamethrowerIce BeamShadow Ball (legacy)ThunderboltPsychicPsystrike (legacy)Focus BlastFrustration (Shadow)Return (Shadow)
150,Mewtwo Armored Mewtwo,Psychic,182,278,214,6%,0%,ConfusionIron Tail,EarthquakeRock SlidePsystrike (legacy)Dynamic PunchFuture Sight
